"sp"	"x"	"y"
"Amblyraja_radiata"	-60.723484	61.909409
"Amblyraja_radiata"	-60.440619	62.047631
"Amblyraja_radiata"	-53.743555	51.63472
"Amblyraja_radiata"	-66.668673	49.598062
"Amblyraja_radiata"	-59.109276	57.156165
"Amblyraja_radiata"	-59.752392	43.981514
"Amblyraja_radiata"	-59.812254	58.294262
"Amblyraja_radiata"	-45.535229	61.082882
"Amblyraja_radiata"	-62.298491	67.732126
"Amblyraja_radiata"	-67.600091	60.882582
"Amblyraja_radiata"	-59.86537	58.315479
"Amblyraja_radiata"	-56.027887	45.909734
"Amblyraja_radiata"	-56.497476	46.10504
"Amblyraja_radiata"	-66.61638	50.1133
"Amblyraja_radiata"	-66.71553	50.07752
"Amblyraja_radiata"	-19.159546	63.456726
"Amblyraja_radiata"	-64.400172	49.379189
"Amblyraja_radiata"	-61.027045	48.006271
"Amblyraja_radiata"	-60.511962	47.969815
"Amblyraja_radiata"	-66.69133	50.10302
"Amblyraja_radiata"	-14.915856	64.389377
"Amblyraja_radiata"	-60.4485	47.541167
"Amblyraja_radiata"	-60.64	47.885
"Amblyraja_radiata"	-60.281333	47.883333
"Amblyraja_radiata"	-60.216167	48.0495
"Amblyraja_radiata"	-59.955167	48.089167
"Amblyraja_radiata"	-59.681833	48.012333
"Amblyraja_radiata"	-59.730333	47.676833
"Amblyraja_radiata"	-59.4325	47.655167
"Amblyraja_radiata"	-59.494333	48.004167
"Amblyraja_radiata"	-58.959167	48.3585
"Amblyraja_radiata"	-59.358333	48.3485
"Amblyraja_radiata"	-59.446833	48.623167
"Amblyraja_radiata"	-59.458667	48.812833
"Amblyraja_radiata"	-57.905833	50.113333
"Amblyraja_radiata"	-57.974	50.348833
"Amblyraja_radiata"	-57.909167	50.445833
"Amblyraja_radiata"	-57.563167	50.4735
"Amblyraja_radiata"	-57.500833	50.592667
"Amblyraja_radiata"	-57.5765	50.76
"Amblyraja_radiata"	-57.324333	50.954667
"Amblyraja_radiata"	-57.196333	51.036
"Amblyraja_radiata"	-58.161333	50.506833
"Amblyraja_radiata"	-58.318333	50.487667
"Amblyraja_radiata"	-58.408667	50.368167
"Amblyraja_radiata"	-58.136833	50.371
"Amblyraja_radiata"	-58.576667	50.225
"Amblyraja_radiata"	-58.687833	49.9085
"Amblyraja_radiata"	-59.058833	49.807333
"Amblyraja_radiata"	-59.1705	49.473
"Amblyraja_radiata"	-59.1775	49.117333
"Amblyraja_radiata"	-59.444333	49.117333
"Amblyraja_radiata"	-59.590667	49.1485
"Amblyraja_radiata"	-59.779333	49.096667
"Amblyraja_radiata"	-60.019833	48.889167
"Amblyraja_radiata"	-59.762667	48.807333
"Amblyraja_radiata"	-60.0755	48.554167
"Amblyraja_radiata"	-60.238833	48.568167
"Amblyraja_radiata"	-60.628833	48.2855
"Amblyraja_radiata"	-61.204	48.105333
"Amblyraja_radiata"	-61.347167	48.22
"Amblyraja_radiata"	-61.626833	48.307333
"Amblyraja_radiata"	-61.955167	48.345833
"Amblyraja_radiata"	-62.0805	48.345333
"Amblyraja_radiata"	-62.089667	48.4555
"Amblyraja_radiata"	-63.790333	48.8925
"Amblyraja_radiata"	-64.094167	49.015167
"Amblyraja_radiata"	-64.168167	49.129
"Amblyraja_radiata"	-63.868333	49.397
"Amblyraja_radiata"	-63.992667	49.557
"Amblyraja_radiata"	-64.2895	49.694667
