ScientificName_accepted,vertical.position,salinity.tolerance,max.pressure.tolerance,length,trophic.level,no.of.fao,shallow,deep,Temp.tolerance,trophic.group,habitat,Food.Items,WeightData,double.time,Oxygen.min,Oxygen.max,Oxygen.tolerance,Aggregation,DFO_clean_2014_name
Amblyraja radiata,demersal,2,32.58322587,105,4,5,20,1000,3.8,Omnivore,soft,Large Benthivore,13644.32788,9.25,NA,NA,NA,rare,RAJA_RADIATA
Ammodytes dubius,demersal,1,10.71766099,25,3.1,3,0,108,4.7,Benthic Invertivore,parasite,Planktivores,39.73487623,2.9,NA,NA,NA,schools,AMMODYTES_DUBIUS
Anarhichas denticulatus,benthopelagic,1,235.971223,180,3.8,3,60,1700,3.9,Carnivore,midwater,Large Benthivore,102568.0791,9.25,NA,NA,NA,rare,ANARHICHAS_DENTICULATUS
Anarhichas lupus,demersal,1,54.07686506,150,3.2,3,1,600,1.3,Carnivore,hard,Large Benthivore,35163.32648,9.25,NA,NA,NA,irregular,ANARHICHAS_LUPUS
Anarhichas minor,demersal,1,165.2298851,180,3.5,2,25,600,1.5,Carnivore,soft,Large Benthivore,53219.95937,9.25,NA,NA,NA,irregular,ANARHICHAS_MINOR
Antimora rostrata,bathypelagic,1,7.359540554,75,3.6,13,350,3000,13,Carnivore,midwater,Medium Benthivore,3010.097391,2.9,1.46114125,11.19278813,9.731646875,irregular,ANTIMORA_ROSTRATA
Artediellus atlanticus,demersal,1,19.18946132,15,3.4,2,35,900,10,Benthic Invertivore,soft,Small Benthivore,31.46147402,9.25,2.932042031,10.12660063,7.194558594,rare,ARTEDIELLUS_SP
Aspidophoroides monopterygius,demersal,1,68.97013323,18,3,2,0,695,1.6,Benthic Invertivore,soft,Small Benthivore,65.46790077,2.9,NA,NA,NA,none,ASPIDOPHOROIDES_MONOPTERYGIUS
Bathylagus euryops,bathypelagic,1,5.365858363,13,3.3,2,500,3237,12,Carnivore,midwater,Small Benthivore,11.2079317,2.9,NA,NA,NA,irregular,BATHYLAGUS_EURYOPS
Bathyraja spinicauda,bathydemersal,1,8.815484971,170,4,2,140,1463,8.9,Carnivore,soft,Large Benthivore,51875.42529,9.25,NA,NA,NA,irregular,RAJA_SPINICAUDA
Benthosema glaciale,pelagic-oceanic,1,139.6273057,10.3,3,5,0,1407,2.5,Invertivore,midwater,Planktivores,11.22796401,2.9,NA,NA,NA,irregular,MYCTOPHIDAE
Boreogadus saida,demersal,2,39.69504071,40,3.1,5,0,400,12.7,Carnivore,hard,PlankPiscivore,519.7635898,2.9,NA,NA,NA,schools,BOREOGADUS_SAIDA
Centroscyllium fabricii,bathydemersal,1,7.470663486,107,3.9,6,180,1600,12.6,Carnivore,soft,Piscivore,5297.35407,9.25,NA,NA,NA,irregular,CENTROSCYLLIUM_FABRICII
Chauliodus sloani,bathypelagic,1,21.42073495,35,4.2,15,200,4700,6.8,Carnivore,midwater,Piscivore,81.77891198,2.9,NA,NA,NA,shoal,CHAULIODUS_SLOANI
Chiasmodon niger,bathypelagic,1,2.879970063,25,4.2,14,700,2745,6.2,Carnivore,midwater,Small Benthivore,184.1373989,2.9,NA,NA,NA,none,CHIASMODON_NIGER
Clupea harengus,benthopelagic,2,36.12248705,45,3.2,4,0,364,10.8,Carnivore,midwater,Planktivores,791.4484106,2.9,NA,NA,NA,schools,CLUPEA_HARENGUS
Coryphaenoides rupestris,bathypelagic,1,12.73169411,110,3.5,4,180,2600,0.5,Carnivore,midwater,Medium Benthivore,70588.25583,9.25,NA,NA,NA,schools,CORYPHAENOIDES_RUPESTRIS
Cottunculus microps,bathydemersal,1,6.722762972,30,3.4,3,165,1342,7.4,Invertivore,soft,Small Benthivore,368.1252234,9.25,NA,NA,NA,none,COTTUNCULUS_MICROPS
Cyclopterus lumpus,benthopelagic,1,86.13823834,61,3.9,4,0,868,5.8,Omnivore,hard,Medium Benthivore,5415.995386,9.25,NA,NA,NA,irregular,CYCLOPTERUS_LUMPUS
Cyclothone microdon,bathypelagic,1,24.28159311,7.6,3,14,200,5301,11.5,Invertivore,midwater,Not Assigned,1.806200443,2.9,1.46114125,10.38553547,8.924394219,none,
Enchelyopus cimbrius,demersal,1,211.41,41,3.5,4,20,650,6.3,Carnivore,parasite,Small Benthivore,348.5063437,2.9,NA,NA,NA,rare,ENCHELYOPUS_CIMBRIUS
Eumesogrammus praecisus,benthopelagic,1,26.19914908,22,3.5,4,5,400,4.7,Benthic Invertivore,soft,Small Benthivore,73.63013839,2.9,NA,NA,NA,none,EUMESOGRAMMUS_PRAECISUS
Eumicrotremus spinosus,demersal,1,4.85181795,13.2,3.5,3,60,400,0.682,Carnivore,hard,Small Benthivore,25.50026836,2.9,4.33253125,6.418479375,2.085948125,none,EUMICROTREMUS_SP
Gadus morhua,benthopelagic,2,59.54256107,200,4.4,4,0,600,15,Omnivore,midwater,Piscivore,85422.60387,2.9,NA,NA,NA,schools,GADUS_MORHUA
Glyptocephalus cynoglossus,demersal,1,55.27690436,60,3.1,2,18,1570,4.949,Carnivore,soft,Medium Benthivore,1441.620428,9.25,1.7846,10.5521875,8.7675875,irregular,GLYPTOCEPHALUS_CYNOGLOSSUS
Hippoglossoides platessoides,demersal,1,148.9279266,82.6,3.7,3,10,3000,3.6,Omnivore,soft,Large Benthivore,4083.511062,9.25,NA,NA,NA,irregular,HIPPOGLOSSOIDES_PLATESSOIDES
Icelus spatula,demersal,1,41.58206525,21,3.9,5,12,930,3.6,Invertivore,soft,Small Benthivore,90.79927453,2.9,NA,NA,NA,none,ICELUS_SPATULA
Leptagonus decagonus,demersal,1,92.29096965,21,3.2,4,0,930,1,Benthic Invertivore,soft,Small Benthivore,45.425205,2.9,NA,NA,NA,rare,AGONUS_DECAGONUS
Leptoclinus maculatus,demersal,1,50.095946,20,3,5,2,607,12.42,Benthic Invertivore,soft,Small Benthivore,54.89921651,2.9,1.98365625,11.22206672,9.238410469,,
Limanda ferruginea,demersal,1,9.089235529,64,3.2,1,27,364,1,Carnivore,parasite,Medium Benthivore,2533.269859,2.9,NA,NA,NA,irregular,LIMANDA_FERRUGINEA
Liparis gibbus,demersal,1,64.20672835,52,3.3,4,0,647,5.8,Invertivore,hard,Small Benthivore,1780.150209,2.9,NA,NA,NA,irregular,LIPARIDAE
Lumpenus lampretaeformis,demersal,1,8.558562096,50,3.6,3,30,373,10.32,Benthic Invertivore,soft,Medium Benthivore,58.30303423,2.9,2.240509531,11.15490625,8.914396719,rare,LUMPENUS_LUMPRETAEFORMIS
Lycenchelys verrillii,bathydemersal,1,18.79564312,25,3.4,2,46,1100,12.2,,soft,Small Benthivore,82.98742025,2.9,NA,NA,NA,rare,
Lycodes esmarkii,bathydemersal,1,3.213613458,75,3.4,2,251,1090,9.1,Carnivore,soft,Medium Benthivore,2981.450166,9.25,4.066936094,4.69572875,0.628792656,rare,LYCODES_ESMARKI
Lycodes reticulatus,bathydemersal,1,7.540188372,36,3.5,3,100,930,5.4,Carnivore,soft,Medium Benthivore,272.4419553,2.9,NA,NA,NA,rare,LYCODES_RETICULATUS
Lycodes vahlii,bathydemersal,1,15.11784751,52,3.4,3,65,1200,12.3,Carnivore,soft,Medium Benthivore,353.5292344,9.25,1.46114125,9.880625,8.41948375,rare,LYCODES_VAHLII
Macrourus berglax,benthopelagic,1,8.176107874,110,4.5,2,100,1000,9.3,Benthic Invertivore,midwater,Large Benthivore,12400.20414,14,NA,NA,NA,rare,MACROURUS_BERGLAX
Malacoraja senta,bathydemersal,2,15.47876492,61,3.5,2,46,914,10.473,,soft,Medium Benthivore,1926.601069,9.25,1.899445625,11.19278813,9.2933425,irregular,RAJA_SENTA
Mallotus villosus,pelagic-oceanic,3,71.94726129,20,3.2,6,0,725,9.7,Carnivore,midwater,Planktivores,69.13357004,2.9,NA,NA,NA,schools,MALLOTUS_VILLOSUS
Myoxocephalus octodecemspinosus,demersal,2,114.55,46,3.5,2,1,127,2.3,Omnivore,hard,Medium Benthivore,1201.016337,1.25,NA,NA,NA,shoal,MYOXOCEPHALUS_OCTODECEMSPINOSUS
Myoxocephalus quadricornis,demersal,3,9.923760178,60,3.7,7,0,100,11.1,Carnivore,soft,Medium Benthivore,3866.300107,9.25,3.10996875,7.94147,4.83150125,irregular,
Myoxocephalus scorpius,demersal,2,44.7561584,60,3.9,4,0,451,2.3,Carnivore,hard,Medium Benthivore,3087.045822,2.9,NA,NA,NA,shoal,MYOXOCEPHALUS_SCORPIUS
Nezumia bairdii,benthopelagic,1,37.73465442,40,3.6,2,16,1000,8.2,Carnivore,midwater,Small Benthivore,275.586544,2.9,NA,NA,NA,none,NEZUMIA_BAIRDI
Notacanthus chemnitzii_Lipogenys,benthopelagic,1,263.333,120,3.5,13,125,1000,2,Benthic Invertivore,midwater,Large Benthivore,4614.448386,9.25,NA,NA,NA,none,NOTACANTHIDAE
Notacanthus chemnitzii,benthopelagic,1,263.333,120,3.5,13,125,1000,2,Benthic Invertivore,midwater,Large Benthivore,4614.448386,9.25,NA,NA,NA,none,NOTACANTHUS_NASUS
Paraliparis copei copei,bathydemersal,1,8.454050062,17,4,4,200,1976,8.927,Invertivore,soft,Piscivore,26.85036761,2.9,8.504734375,10.83726234,2.332527969,irregular,PARALEPIDIDAE
Phycis chesteri,benthopelagic,1,14.08917591,42,3.2,2,90,1500,0.647,Carnivore,midwater,PlankPiscivore,409.4955588,9.25,1.97359375,5.74390625,3.7703125,none,UROPHYCIS_CHESTERI
Reinhardtius hippoglossoides,benthopelagic,1,180.4668669,80,4.5,6,1,2000,10.473,Carnivore,midwater,Piscivore,4175.301078,9.25,1.899445625,11.22206672,9.322621094,irregular,REINHARDTIUS_HIPPOGLOSSOIDES
Sebastes mentella,bathypelagic,1,3.679733234,58,3.7,3,300,1441,0.833,Carnivore,midwater,PlankPiscivore,2871.202149,14,3.659824219,5.8326875,2.172863281,shoal,SEBASTES_MENTELLA
Sebastes norvegicus,pelagic-oceanic,1,8.176107874,100,4,2,100,1000,12.8,Carnivore,midwater,PlankPiscivore,14957.94106,9.25,NA,NA,NA,shoal,SEBASTES_MARINUS
Serrivomer beanii,bathypelagic,1,595.2271355,78,3.9,11,0,5998,21.53,Carnivore,midwater,Medium Benthivore,628.6510655,9.25,NA,NA,NA,irregular,SERRIVOMER_BEANI
Stomias boa ferox,bathypelagic,1,22.75,30,3.6,4,300,1000,2,Carnivore,midwater,Piscivore,98.17154372,2.9,NA,NA,NA,none,STOMIAS_BOA_FEROX
Synaphobranchus kaupii,bathydemersal,1,35.9787378,100,4.1,11,120,4800,8.2,Carnivore,soft,Medium Benthivore,1111.923228,2.9,2.119954375,10.20730344,8.087349063,none,SYNAPHOBRANCHUS_KAUPI
Triglops nybelini,demersal,1,14.78844284,20,3.3,3,71,1270,10.334,Benthic Invertivore,soft,Small Benthivore,96.27500991,2.9,6.142927813,11.15490625,5.011978438,none,TRIGLOPS_SP
Ulcina olrikii,demersal,2,30.04071212,8.6,3.3,5,7,520,8.6,Benthic Invertivore,soft,Small Benthivore,3.203205262,2.9,2.823349375,4.564672188,1.741322813,none,
Urophycis tenuis,demersal,1,43.48,133,4.2,3,180,1000,12,Carnivore,soft,Piscivore,19799.89891,9.25,7.616617188,10.78009938,3.163482188,shoal,UROPHYCIS_TENUIS
Gaidropsarus ensis,benthopelagic,1,198.4752036,40,3.4,2,0,2000,11.9,Invertivore,midwater,Planktivores,NA,2.9,2.401125,11.03663563,8.635510625,none,GAIDROPSARUS_SP
