Year,Country,GearCode,Tonnage,MainSpecies,Divcode,Code,Effort,Month_NK,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DateCreated
2009,3,41,1,29,31,122,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,53,1,31,32,204,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,61,1,31,32,202,9,0,0,0,0,0,0,0,0,0,0,1,0,0,08-Sep-10
2009,3,62,1,59,41,308,9,0,0,0,0,0,0,0,0,1,16,1,0,0,08-Sep-10
2009,3,62,1,87,41,562,9,0,0,0,0,0,0,5,0,0,0,0,0,0,08-Sep-10
2009,3,10,2,72,31,632,9,0,0,0,0,0,0,0,0,20,12,0,0,0,08-Sep-10
2009,3,62,4,71,32,610,9,0,0,0,0,0,20,16,11,0,0,0,0,0,08-Sep-10
2009,3,62,2,71,31,610,9,0,0,0,0,0,46,186,16,0,0,0,0,0,08-Sep-10
2009,3,62,1,71,22,610,9,0,0,0,0,0,0,0,0,0,4,0,0,0,08-Sep-10
2009,3,41,1,29,37,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,1,29,37,132,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,2,29,37,479,9,0,0,0,0,0,0,0,3,0,0,0,0,0,08-Sep-10
2009,3,61,1,30,41,204,9,0,0,0,0,0,0,0,0,3,0,0,0,0,08-Sep-10
2009,3,41,1,30,36,202,9,0,0,0,0,0,1,0,0,1,3,9,8,2,08-Sep-10
2009,3,61,1,30,32,202,9,0,0,0,0,0,0,0,0,0,4,0,19,0,08-Sep-10
2009,3,31,1,52,41,340,9,0,0,0,0,0,0,163,0,0,0,0,0,0,08-Sep-10
2009,3,31,2,52,32,340,9,0,0,0,0,0,0,0,101,0,0,0,0,0,08-Sep-10
2009,3,31,3,52,32,340,9,0,0,0,0,0,0,0,237,15,0,0,0,0,08-Sep-10
2009,3,62,2,70,41,622,9,0,0,0,0,0,1,0,0,0,0,0,0,0,08-Sep-10
2009,3,62,1,70,32,622,9,0,0,0,0,0,31,44,25,0,0,0,0,0,08-Sep-10
2009,3,62,1,70,31,622,9,0,0,0,0,0,37,55,16,0,0,0,0,0,08-Sep-10
2009,3,41,1,1,41,112,9,0,0,0,0,0,0,1,7,1,1,5,0,0,08-Sep-10
2009,3,51,1,1,41,189,9,0,0,0,0,0,0,0,7,2,1,0,1,0,08-Sep-10
2009,3,51,1,1,41,116,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,1,41,122,9,0,0,0,0,0,0,0,2,0,0,0,0,0,08-Sep-10
2009,3,51,1,1,41,464,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,1,41,114,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,12,3,1,37,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,12,3,1,37,114,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,1,36,112,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,3,1,36,101,9,0,0,0,0,0,0,0,0,0,0,0,7,0,08-Sep-10
2009,3,41,1,1,36,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,53,1,1,36,106,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,2,1,36,112,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,2,1,36,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,2,1,36,469,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,53,1,1,32,101,9,0,0,0,0,0,0,0,0,0,276,42,0,0,08-Sep-10
2009,3,41,1,1,31,101,9,0,0,0,0,0,0,2,21,30,580,65,2,0,08-Sep-10
2009,3,51,1,1,31,101,9,0,0,0,0,0,0,0,0,0,19,2,0,0,08-Sep-10
2009,3,62,1,1,31,101,9,0,0,0,0,0,0,0,0,0,3,1,0,0,08-Sep-10
2009,3,41,1,1,31,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,3,37,114,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,3,37,101,9,0,0,0,0,0,0,0,2,1,3,3,2,0,08-Sep-10
2009,3,12,3,1,37,102,9,0,1,0,0,0,0,0,0,0,0,0,0,2,08-Sep-10
2009,3,51,1,1,36,462,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,53,1,1,36,101,9,0,0,0,0,0,0,2,4,1,0,0,0,0,08-Sep-10
2009,3,51,1,1,36,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,1,36,189,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,2,1,36,479,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,2,1,36,120,9,0,0,0,0,0,0,0,0,0,0,0,1,0,08-Sep-10
2009,3,41,1,1,32,504,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,1,32,464,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,3,1,32,101,9,0,0,0,0,0,0,0,0,0,2,0,0,0,08-Sep-10
2009,3,41,2,1,31,112,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,1,31,118,9,0,0,0,0,0,0,0,0,0,1,0,0,0,08-Sep-10
2009,3,41,1,1,31,112,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,3,37,479,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,1,3,37,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,3,37,122,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,16,41,479,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,2,16,41,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,1,16,41,189,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,16,37,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,1,16,36,479,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,3,16,35,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,3,16,35,144,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,10,41,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,10,41,464,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,21,3,11,37,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,21,3,11,37,103,9,0,0,0,0,0,0,5,0,0,0,0,0,0,08-Sep-10
2009,3,21,2,11,37,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,14,32,101,9,0,0,0,0,0,0,0,1,17,0,0,0,0,08-Sep-10
2009,3,41,1,14,32,116,9,0,0,0,0,0,0,0,1,2,0,0,0,0,08-Sep-10
2009,3,41,1,14,32,479,9,0,0,0,0,0,0,0,0,2,0,0,0,0,08-Sep-10
2009,3,41,1,13,37,479,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,1,13,37,118,9,0,0,0,0,0,0,0,1,0,0,0,0,0,08-Sep-10
2009,3,41,1,13,37,169,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
