"year","type","effort","catch"
1981,"benthic",11919400,278556
1981,"invertebrate",329575,30710
1981,"pelagic",786225,59795
1982,"benthic",9119750,314899
1982,"invertebrate",414037.5,27179
1982,"pelagic",1052100,47786
1983,"benthic",8315212.5,312345
1983,"invertebrate",217387.5,11932
1983,"pelagic",1129500,50508
1984,"benthic",9305875,313149
1984,"invertebrate",207512.5,10904
1984,"pelagic",1271250,69134
1985,"benthic",10139550,315857
1985,"invertebrate",142125,8363
1985,"pelagic",1526650,73039
1986,"benthic",13047925,379844
1986,"invertebrate",220562.5,9835
1986,"pelagic",2962037.5,102304
1987,"benthic",16291825,370102
1987,"invertebrate",404125,9162
1987,"pelagic",2878987.5,99038
1988,"benthic",12847775,345932
1988,"invertebrate",909475,17330
1988,"pelagic",1571575,128131
1989,"benthic",13164112.5,329645
1989,"invertebrate",1389500,19341
1989,"pelagic",1570175,122733
1990,"benthic",11726112.5,292402
1990,"invertebrate",1103437.5,22747
1990,"pelagic",3182325,154657
1991,"benthic",11420987.5,216923
1991,"invertebrate",1719587.5,25980
1991,"pelagic",425250,65170
1992,"benthic",8377125,79098
1992,"invertebrate",2051162.5,26646
1992,"pelagic",45662.5,40536
1993,"benthic",3851200,41260
1993,"invertebrate",2015300,35006
1993,"pelagic",41425,49704
1994,"benthic",3246450,23519
1994,"invertebrate",1535125,44422
1994,"pelagic",15600,6037
1995,"benthic",613112.5,11528
1995,"invertebrate",1718625,49434
1995,"pelagic",24725,5143
1996,"benthic",1642625,16993
1996,"invertebrate",1711150,60552
1996,"pelagic",36750,30857
1997,"benthic",1605287.5,17159
1997,"invertebrate",2463725,84043
1997,"pelagic",23162.5,21109
1998,"benthic",2194537.5,21275
1998,"invertebrate",2983137.5,104605
1998,"pelagic",32162.5,34689
1999,"benthic",2023312.5,27877
1999,"invertebrate",2347950,115440
1999,"pelagic",24287.5,23879
2000,"benthic",3675487.5,35229
2000,"invertebrate",2559700,120711
2000,"pelagic",38662.5,25158
2001,"benthic",3169700,37322
2001,"invertebrate",3841537.5,112855
2001,"pelagic",13212.5,24312
2002,"benthic",5345825,32968
2002,"invertebrate",3016900,123879
2002,"pelagic",22375,22041
2003,"benthic",4837500,29814
2003,"invertebrate",1545350,120946
2003,"pelagic",13062.5,21666
2004,"benthic",5862925,19979
2004,"invertebrate",4511050,148917
2004,"pelagic",61375,46824
2005,"benthic",2388587.5,22892
2005,"invertebrate",4787150,138913
2005,"pelagic",1774925,62531
2006,"benthic",1574275,18658
2006,"invertebrate",4706312.5,155056
2006,"pelagic",1428512.5,60800
2007,"benthic",2064000,18081
2007,"invertebrate",5073150,155097
2007,"pelagic",43575,53061
2008,"benthic",1283950,17577
2008,"invertebrate",3338675,153256
2008,"pelagic",912075,41764
2009,"benthic",1361662.5,15882
2009,"invertebrate",3355450,118644
2009,"pelagic",687600,35030
2010,"benthic",1771225,17104
2010,"invertebrate",3630487.5,135277
2010,"pelagic",255950,32958
2011,"benthic",2481937.5,20326
2011,"invertebrate",3306875,117623
2011,"pelagic",23912.5,23410
2012,"benthic",843212.5,19227
2012,"invertebrate",2822350,116350
2012,"pelagic",26800,26915
2013,"benthic",2503075,22269
2013,"invertebrate",2233450,110440
2013,"pelagic",101525,29756
